rollnumber,vote_question,vote_desc,bill_excerpt,reason,bill_number,bias_type
482,On Cloture on the Motion to Proceed,A bill to improve women's access to health care services and provide improved medical care by reducing the excessive burden the liability system places on the delivery of obstetrical and gynecological services.,"To improve women's access to health care services and provide improved medical care by reducing the excessive burden the liability system places on the delivery of obstetrical and gynecological services. Congress finds that the current civil justice system is eroding women's access to obstetrical and gynecological services; nearly half of the States have a medical liability insurance crisis that is threatening access to high-quality obstetrical and gynecological services; one in seven obstetricians and gynecologists have stopped practicing obstetrics due to high costs and risks. This Act aims to implement reasonable, comprehensive, and effective health care liability reforms designed to improve the availability of health care services, reduce the incidence of 'defensive medicine', lower costs of health care liability insurance, and ensure fair compensation for meritorious health care injury claims. In any health care lawsuit, the amount of noneconomic damages may be limited to $250,000 per provider, and the total amount from all institutions shall not exceed $500,000, thereby addressing the escalating costs associated with malpractice lawsuits while maintaining access to necessary care.","These excerpts were chosen because they directly address the core purpose of the bill, which is to improve women's access to obstetrical and gynecological care by reforming the liability system that currently burdens these services. The excerpts highlight the findings that detail the critical issues facing women's health care access and outline the key reforms proposed in the bill, including limits on noneconomic damages. This directly relates to the vote on cloture to proceed with the bill, as it encapsulates why legislators might support or oppose advancing this legislation.",S23,200
484,On the Conference Report,A bill to provide for reconciliation pursuant to section 201(b) of the concurrent resolution on the budget for fiscal year 2006.,"To provide for reconciliation pursuant to section 201(b) of the concurrent resolution on the budget for fiscal year 2006. TITLE I--EXTENSION AND MODIFICATION OF CERTAIN PROVISIONS SEC. 101. INCREASED EXPENSING FOR SMALL BUSINESS. Subsections (b)(1), (b)(2), (b)(5), (c)(2), and (d)(1)(A)(ii) of section 179 (relating to election to expense certain depreciable business assets) are each amended by striking ``2008'' and inserting ``2010''. SEC. 102. CAPITAL GAINS AND DIVIDENDS RATES. Section 303 of the Jobs and Growth Tax Relief Reconciliation Act of 2003 is amended by striking ``December 31, 2008'' and inserting ``December 31, 2010''. SEC. 301. INCREASE IN ALTERNATIVE MINIMUM TAX EXEMPTION AMOUNT FOR 2006. (a) In General.--Section 55(d)(1) (relating to exemption amount for taxpayers other than corporations) is amended-- (1) by striking ``$58,000'' and all that follows through ``2005'' in subparagraph (A) and inserting ``$62,550 in the case of taxable years beginning in 2006'', and (2) by striking ``$40,250'' and all that follows through ``2005'' in subparagraph (B) and inserting ``$42,500 in the case of taxable years beginning in 2006''.","These excerpts are chosen because they contain key provisions and modifications related to tax policy that are central to the bill's purpose of reconciliation for the fiscal year 2006. The excerpts highlight significant changes such as increased expensing for small businesses, adjustments to capital gains and dividends rates, and increases in the alternative minimum tax exemption amount. These elements are crucial for legislators to understand the implications of the bill on tax policy, which directly informs their voting decisions.",HR4297,200
529,On the Cloture Motion,A joint resolution proposing an amendment to the Constitution of the United States relating to marriage.,"Resolved by the Senate and House of Representatives of the United States of America in Congress assembled (two-thirds of each House concurring therein), That the following article is proposed as an amendment to the Constitution of the United States, which shall be valid to all intents and purposes as part of the Constitution when ratified by the legislatures of three-fourths of the several States: ""Article-- Section 1. This article may be cited as the 'Marriage Protection Amendment'. Section 2. Marriage in the United States shall consist only of the union of a man and a woman. Neither this Constitution, nor the constitution of any State, shall be construed to require that marriage or the legal incidents thereof be conferred upon any union other than the union of a man and a woman.""","These excerpts were chosen because they directly state the proposed amendment that legislators are voting on. The text clearly defines what constitutes marriage in the United States and outlines the intent of the amendment, which is crucial for understanding the implications of the cloture motion regarding this resolution.",SJRES1,200
530,On the Cloture Motion,A bill to make the repeal of the estate tax permanent.,To make the repeal of the estate tax permanent. SECTION 2. ESTATE TAX REPEAL MADE PERMANENT. Section 901 of the Economic Growth and Tax Relief Reconciliation Act of 2001 shall not apply to title V of such Act.,"These excerpts are directly relevant to the vote on the cloture motion regarding the bill aimed at making the repeal of the estate tax permanent. The first sentence clearly states the purpose of the bill, while the second section specifies the legislative action to be taken, which is crucial for understanding what legislators are voting on.",HR8,200
531,On the Cloture Motion,A bill to express the policy of the United States regarding the United States relationship with Native Hawaiians and to provide a process for the recognition by the United States of the Native Hawaiian governing entity.,"To express the policy of the United States regarding the United States relationship with Native Hawaiians and to provide a process for the recognition by the United States of the Native Hawaiian governing entity. The purpose of this Act is to provide a process for the reorganization of the Native Hawaiian governing entity and the reaffirmation of the political and legal relationship between the United States and the Native Hawaiian governing entity for purposes of continuing a government-to-government relationship. The United States reaffirms that Native Hawaiians are a unique and distinct, indigenous, native people with whom the United States has a special political and legal relationship; the United States has a special political and legal relationship with the Native Hawaiian people which includes promoting the welfare of Native Hawaiians; Congress possesses the authority under the Constitution to enact legislation to address the conditions of Native Hawaiians; Native Hawaiians have an inherent right to autonomy in their internal affairs; the right to reorganize a Native Hawaiian governing entity; and the right to become economically self-sufficient; and the United States shall continue to engage in a process of reconciliation and political relations with the Native Hawaiian people.","These excerpts were chosen because they clearly outline the objective of the bill, which is to reaffirm the political and legal relationship between the United States and the Native Hawaiian people, and establish a process for the recognition of a Native Hawaiian governing entity. This directly relates to the cloture motion, as it informs legislators about the key elements of the legislation they are voting on, including the rights and the intended government-to-government relationship with Native Hawaiians.",S147,100
554,On the Amendment,To provide a complete substitute.,"Proposing an amendment to the Constitution of the United States authorizing Congress to prohibit the physical desecration of the flag of the United States. Resolved by the Senate and House of Representatives of the United States of America in Congress assembled (two-thirds of each House concurring therein), That the following article is proposed as an amendment to the Constitution of the United States: ""Article -- The Congress shall have power to prohibit the physical desecration of the flag of the United States.""","These excerpts clearly outline the purpose of the amendment being voted on, which is to grant Congress the authority to prohibit the physical desecration of the U.S. flag. This directly addresses the focus of the vote, which is on the proposed substitute amendment.",SJRES12,100
555,On the Joint Resolution,A joint resolution proposing an amendment to the Constitution of the United States authorizing Congress to prohibit the physical desecration of the flag of the United States.,"Proposing an amendment to the Constitution of the United States authorizing Congress to prohibit the physical desecration of the flag of the United States. Resolved by the Senate and House of Representatives of the United States of America in Congress assembled (two-thirds of each House concurring therein), That the following article is proposed as an amendment to the Constitution of the United States, which shall be valid to all intents and purposes as part of the Constitution when ratified by the legislatures of three-fourths of the several States within seven years after the date of its submission for ratification: 'Article -- The Congress shall have power to prohibit the physical desecration of the flag of the United States.'","These excerpts were chosen because they directly state the purpose of the joint resolution, which is to propose an amendment to the Constitution that would grant Congress the authority to prohibit the physical desecration of the U.S. flag. This is the central issue that legislators are voting on, making it essential for understanding the implications of the vote.",SJRES12,200
556,On Passage of the Bill,A bill to implement the United States-Oman Free Trade Agreement.,The purposes of this Act are-- (1) to approve and implement the Free Trade Agreement between the United States and Oman entered into under the authority of section 2103(b) of the Bipartisan Trade Promotion Authority Act of 2002 (19 U.S.C. 3803(b)); (2) to strengthen and develop economic relations between the United States and Oman for their mutual benefit; (3) to establish free trade between the 2 nations through the reduction and elimination of barriers to trade in goods and services and to investment; and (4) to lay the foundation for further cooperation to expand and enhance the benefits of such Agreement.,"This excerpt clearly outlines the primary purposes of the bill, which are to approve and implement the United States-Oman Free Trade Agreement. It emphasizes the goals of strengthening economic relations and establishing free trade, which are central to understanding what legislators are voting on regarding the agreement.",S3569,200
570,On Passage of the Bill,"A bill to amend the Public Health Service Act to prohibit the solicitation or acceptance of tissue from fetuses gestated for research purposes, and for other purposes.","SEC. 2. PROHIBITION OF THE SOLICITATION OR ACCEPTANCE OF TISSUE FROM FETUSES GESTATED FOR RESEARCH PURPOSES. Section 498B of the Public Health Service Act (42 U.S.C. 289g-2) is amended-- (1) by redesignating subsections (c) and (d) as subsections (d) and (e), respectively; (2) by inserting after subsection (b) the following: ``(c) Solicitation or Acceptance of Tissue From Fetuses Gestated for Research Purposes.--It shall be unlawful for any person or entity involved or engaged in interstate commerce to-- ``(1) solicit or knowingly acquire, receive, or accept a donation of human fetal tissue knowing that a human pregnancy was deliberately initiated to provide such tissue; or ``(2) knowingly acquire, receive, or accept tissue or cells obtained from a human embryo or fetus that was gestated in the uterus of a nonhuman animal.''; (3) in paragraph (1) of subsection (d), as so redesignated, by striking ``(a) or (b)'' and inserting ``(a), (b), or (c)''; and (4) in paragraph (1) of subsection (e), as so redesignated, by striking ``section 498A(f)'' and inserting ``section 498A(g)''.","This excerpt directly addresses the core provisions of the bill, which seeks to amend the Public Health Service Act to prohibit the solicitation and acceptance of fetal tissue from fetuses that are gestated specifically for research purposes. It outlines the illegal actions related to fetal tissue collection, which is the central focus of the vote. Legislators are voting on whether to support this prohibition, making it essential to highlight the specific language of the proposed amendment.",S3504,328
571,On Passage of the Bill,A bill to derive human pluripotent stem cell lines using techniques that do not knowingly harm embryos.,"To derive human pluripotent stem cell lines using techniques that do not knowingly harm embryos. It is the purpose of this Act to-- (1) intensify research that may result in improved understanding of or treatments for diseases and other adverse health conditions; and (2) promote the derivation of pluripotent stem cell lines, including from postnatal sources, without creating human embryos for research purposes or discarding, destroying, or knowingly harming a human embryo or fetus. In accordance with section 492, the Secretary shall conduct and support basic and applied research to develop techniques for the isolation, derivation, production, or testing of stem cells that, like embryonic stem cells, are capable of producing all or almost all of the cell types of the developing body and may result in improved understanding of or treatments for diseases and other adverse health conditions, but are not derived from a human embryo. Not later than 90 days after the date of the enactment of this section, the Secretary, after consultation with the Director, shall issue final guidelines to implement subsection (a), that-- (1) provide guidance concerning the next steps required for additional research, which shall include a determination of the extent to which specific techniques may require additional basic or animal research to ensure that any research involving human cells using these techniques would clearly be consistent with the standards established under this section; (2) prioritize research with the greatest potential for near-term clinical benefit; and (3) consistent with subsection (a), take into account techniques outlined by the President's Council on Bioethics and any other appropriate techniques and research.","These excerpts were chosen because they directly address the main objectives and implications of the bill, which focuses on deriving human pluripotent stem cell lines without harming embryos. They outline the purpose of the bill, the types of research it aims to support, and the regulatory framework for conducting this research. This information is critical for legislators to understand the significance of their vote regarding the ethical and scientific aspects of the proposed stem cell research.",S2754,328
572,On Passage of the Bill,A bill to amend the Public Health Service Act to provide for human embryonic stem cell research.,"SEC. 2. HUMAN EMBRYONIC STEM CELL RESEARCH. Part H of title IV of the Public Health Service Act (42 U.S.C. 289 et seq.) is amended by inserting after section 498C the following: ``SEC. 498D. HUMAN EMBRYONIC STEM CELL RESEARCH. ``(a) In General.--Notwithstanding any other provision of law (including any regulation or guidance), the Secretary shall conduct and support research that utilizes human embryonic stem cells in accordance with this section (regardless of the date on which the stem cells were derived from a human embryo). ``(b) Ethical Requirements.--Human embryonic stem cells shall be eligible for use in any research conducted or supported by the Secretary if the cells meet each of the following: ``(1) The stem cells were derived from human embryos that have been donated from in vitro fertilization clinics, were created for the purposes of fertility treatment, and were in excess of the clinical need of the individuals seeking such treatment. ``(2) Prior to the consideration of embryo donation and through consultation with the individuals seeking fertility treatment, it was determined that the embryos would never be implanted in a woman and would otherwise be discarded. ``(3) The individuals seeking fertility treatment donated the embryos with written informed consent and without receiving any financial or other inducements to make the donation. ``(c) Guidelines.--Not later than 60 days after the date of the enactment of this section, the Secretary, in consultation with the Director of NIH, shall issue final guidelines to carry out this section. ``(d) Reporting Requirements.--The Secretary shall annually prepare and submit to the appropriate committees of the Congress a report describing the activities carried out under this section during the preceding fiscal year, and including a description of whether and to what extent research under subsection (a) has been conducted in accordance with this section.","These excerpts provide a clear overview of the bill's purpose, which is to amend the Public Health Service Act to support human embryonic stem cell research. The sections highlight the eligibility criteria for embryonic stem cells, the ethical requirements for their use, and the guidelines and reporting requirements that govern this research. This information is crucial for legislators to understand the implications of the bill and the specific conditions under which embryonic stem cells can be used, directly informing their vote.",HR810,100
578,On Passage of the Bill,A bill to amend the Voting Rights Act of 1965.,"SECTION 2. CONGRESSIONAL PURPOSE AND FINDINGS. (a) Purpose.--The purpose of this Act is to ensure that the right of all citizens to vote, including the right to register to vote and cast meaningful votes, is preserved and protected as guaranteed by the Constitution. (b) Findings.--The Congress finds the following: (1) Significant progress has been made in eliminating first generation barriers experienced by minority voters, including increased numbers of registered minority voters, minority voter turnout, and minority representation in Congress, State legislatures, and local elected offices. This progress is the direct result of the Voting Rights Act of 1965. (2) However, vestiges of discrimination in voting continue to exist as demonstrated by second generation barriers constructed to prevent minority voters from fully participating in the electoral process. (3) The continued evidence of racially polarized voting in each of the jurisdictions covered by the expiring provisions of the Voting Rights Act of 1965 demonstrates that racial and language minorities remain politically vulnerable, warranting the continued protection of the Voting Rights Act of 1965. (9) The record compiled by Congress demonstrates that, without the continuation of the Voting Rights Act of 1965 protections, racial and language minority citizens will be deprived of the opportunity to exercise their right to vote, or will have their votes diluted, undermining the significant gains made by minorities in the last 40 years.","These excerpts were chosen because they outline the purpose and findings of the bill, emphasizing the importance of protecting voting rights and addressing ongoing discrimination against minority voters. This directly relates to the vote on amending the Voting Rights Act of 1965, as it highlights the necessity for continued federal oversight and protection to ensure equal voting rights, which is the crux of what legislators are voting on.",HR9,328
580,On the Amendment,"To authorize grants to carry out programs to provide education on preventing teen pregnancies, and for other purposes.","SEC. 2. TRANSPORTATION OF MINORS IN CIRCUMVENTION OF CERTAIN LAWS RELATING TO ABORTION. Title 18, United States Code, is amended by inserting after chapter 117 the following: ""CHAPTER 117A--TRANSPORTATION OF MINORS IN CIRCUMVENTION OF CERTAIN LAWS RELATING TO ABORTION Sec. 2431. Transportation of minors in circumvention of certain laws relating to abortion (a) Offense.--(1) Generally.--Except as provided in subsection (b), whoever knowingly transports a minor across a State line, with the intent that such minor obtain an abortion, and thereby in fact abridges the right of a parent under a law requiring parental involvement in a minor's abortion decision, in force in the State where the minor resides, shall be fined under this title or imprisoned not more than one year, or both. (2) Definition.--For the purposes of this subsection, an abridgement of the right of a parent occurs if an abortion is performed or induced on the minor, in a State or a foreign nation other than the State where the minor resides, without the parental consent or notification, or the judicial authorization, that would have been required by that law had the abortion been performed in the State where the minor resides. (b) Exceptions.--(1) The prohibition of subsection (a) does not apply if the abortion was necessary to save the life of the minor because her life was endangered by a physical disorder, physical injury, or physical illness, including a life endangering physical condition caused by or arising from the pregnancy itself. (2) A minor transported in violation of this section, and any parent of that minor, may not be prosecuted or sued for a violation of this section, a conspiracy to violate this section, or an offense under section 2 or 3 based on a violation of this section.","These excerpts were chosen because they directly outline the provisions related to the transportation of minors for abortions, specifically addressing the legal implications and exceptions that would arise from violations of parental involvement laws. This is crucial to understanding the context of the vote regarding grants for education on preventing teen pregnancies, as it provides insight into the legal framework surrounding minors' access to abortions and the parental rights involved.",S403,100
581,On the Amendment,To punish parents who have committed incest.,"SEC. 2. TRANSPORTATION OF MINORS IN CIRCUMVENTION OF CERTAIN LAWS RELATING TO ABORTION. Title 18, United States Code, is amended by inserting after chapter 117 the following: ""CHAPTER 117A--TRANSPORTATION OF MINORS IN CIRCUMVENTION OF CERTAIN LAWS RELATING TO ABORTION. Sec. 2431. Transportation of minors in circumvention of certain laws relating to abortion (a) Offense.--(1) Generally.--Except as provided in subsection (b), whoever knowingly transports a minor across a State line, with the intent that such minor obtain an abortion, and thereby in fact abridges the right of a parent under a law requiring parental involvement in a minor's abortion decision, in force in the State where the minor resides, shall be fined under this title or imprisoned not more than one year, or both. (2) Definition.--For the purposes of this subsection, an abridgement of the right of a parent occurs if an abortion is performed or induced on the minor, in a State or a foreign nation other than the State where the minor resides, without the parental consent or notification, or the judicial authorization, that would have been required by that law had the abortion been performed in the State where the minor resides. (b) Exceptions.--(1) The prohibition of subsection (a) does not apply if the abortion was necessary to save the life of the minor because her life was endangered by a physical disorder, physical injury, or physical illness, including a life endangering physical condition caused by or arising from the pregnancy itself. (2) A minor transported in violation of this section, and any parent of that minor, may not be prosecuted or sued for a violation of this section, a conspiracy to violate this section, or an offense under section 2 or 3 based on a violation of this section. (c) Affirmative Defense.--It is an affirmative defense to a prosecution for an offense, or to a civil action, based on a violation of this section that the defendant--(1) reasonably believed, based on information the defendant obtained directly from a parent of the minor, that before the minor obtained the abortion, the parental consent or notification took place that would have been required by the law requiring parental involvement in a minor's abortion decision, had the abortion been performed in the State where the minor resides; or (2) was presented with documentation showing with a reasonable degree of certainty that a court in the minor's State of residence waived any parental notification required by the laws of that State, or otherwise authorized that the minor be allowed to procure an abortion. (d) Civil Action.--Any parent who suffers harm from a violation of subsection (a) may obtain appropriate relief in a civil action unless the parent has committed an act of incest with the minor subject to subsection (a).""","These excerpts are directly relevant to the vote on the amendment to punish parents who have committed incest by including a provision that prohibits any parent who has committed incest with a minor from obtaining relief in a civil action if they suffer harm from a violation of the law regarding transporting minors across state lines for abortion. This directly addresses the issue of accountability and consequences for parents involved in incestuous relationships, which is the central focus of the vote.",S403,328
582,On Passage of the Bill,"A bill to amend title 18, United States Code, to prohibit taking minors across State lines in circumvention of laws requiring the involvement of parents in abortion decisions.","SEC. 2. TRANSPORTATION OF MINORS IN CIRCUMVENTION OF CERTAIN LAWS RELATING TO ABORTION. Title 18, United States Code, is amended by inserting after chapter 117 the following: CHAPTER 117A--TRANSPORTATION OF MINORS IN CIRCUMVENTION OF CERTAIN LAWS RELATING TO ABORTION Sec. 2431. Transportation of minors in circumvention of certain laws relating to abortion (a) Offense.-- (1) Generally.--Except as provided in subsection (b), whoever knowingly transports a minor across a State line, with the intent that such minor obtain an abortion, and thereby in fact abridges the right of a parent under a law requiring parental involvement in a minor's abortion decision, in force in the State where the minor resides, shall be fined under this title or imprisoned not more than one year, or both. (2) Definition.--For the purposes of this subsection, an abridgement of the right of a parent occurs if an abortion is performed or induced on the minor, in a State or a foreign nation other than the State where the minor resides, without the parental consent or notification, or the judicial authorization, that would have been required by that law had the abortion been performed in the State where the minor resides. (b) Exceptions.-- (1) The prohibition of subsection (a) does not apply if the abortion was necessary to save the life of the minor because her life was endangered by a physical disorder, physical injury, or physical illness, including a life endangering physical condition caused by or arising from the pregnancy itself. (2) A minor transported in violation of this section, and any parent of that minor, may not be prosecuted or sued for a violation of this section, a conspiracy to violate this section, or an offense under section 2 or 3 based on a violation of this section.","These excerpts detail the core provisions of the bill, specifically outlining the offenses related to the transportation of minors across state lines for the purpose of obtaining an abortion, which is the primary focus of the vote. The text includes the definitions of key terms, the penalties for violations, and the exceptions to the prohibitions, directly informing legislators about the implications of the bill and their voting decision.",S403,200
583,On the Cloture Motion,"A bill to enhance the energy independence and security of the United States by providing for exploration, development, and production activities for mineral resources in the Gulf of Mexico, and for other purposes.","SEC. 3. OFFSHORE OIL AND GAS LEASING IN 181 AREA AND 181 SOUTH AREA OF GULF OF MEXICO. (a) 181 Area Lease Sale.--Except as provided in section 4, the Secretary shall offer the 181 Area for oil and gas leasing pursuant to the Outer Continental Shelf Lands Act (43 U.S.C. 1331 et seq.) as soon as practicable, but not later than 1 year, after the date of enactment of this Act. (b) 181 South Area Lease Sale.--The Secretary shall offer the 181 South Area for oil and gas leasing pursuant to the Outer Continental Shelf Lands Act (43 U.S.C. 1331 et seq.) as soon as practicable after the date of enactment of this Act.","These excerpts are critical as they outline the main provisions of the bill regarding the leasing of oil and gas in the Gulf of Mexico, specifically detailing the areas (181 Area and 181 South Area) that will be opened for exploration. This directly relates to the vote on the Cloture Motion, indicating legislative intent to advance energy independence and security by facilitating mineral resource development.",S3711,200
584,On the Cloture Motion,"A bill to enhance the energy independence and security of the United States by providing for exploration, development, and production activities for mineral resources in the Gulf of Mexico, and for other purposes.","SEC. 3. OFFSHORE OIL AND GAS LEASING IN 181 AREA AND 181 SOUTH AREA OF GULF OF MEXICO. (a) 181 Area Lease Sale.--Except as provided in section 4, the Secretary shall offer the 181 Area for oil and gas leasing pursuant to the Outer Continental Shelf Lands Act (43 U.S.C. 1331 et seq.) as soon as practicable, but not later than 1 year, after the date of enactment of this Act. (b) 181 South Area Lease Sale.--The Secretary shall offer the 181 South Area for oil and gas leasing pursuant to the Outer Continental Shelf Lands Act (43 U.S.C. 1331 et seq.) as soon as practicable after the date of enactment of this Act. (c) Leasing Program.--The 181 Area and 181 South Area shall be offered for lease under this section notwithstanding the omission of the 181 Area or the 181 South Area from any outer Continental Shelf leasing program under section 18 of the Outer Continental Shelf Lands Act (43 U.S.C. 1344).","These excerpts detail the core provisions of the bill regarding the leasing of oil and gas in the Gulf of Mexico, specifically the 181 Area and 181 South Area. The vote on the cloture motion relates directly to whether to advance this proposal, which is aimed at enhancing energy independence and security through increased exploration and development of mineral resources. The specifics of the leasing program outlined here clarify the intent and immediate actions required by the Secretary of the Interior, thus providing legislators with essential context for their vote.",S3711,200
585,On Passage of the Bill,"A bill to enhance the energy independence and security of the United States by providing for exploration, development, and production activities for mineral resources in the Gulf of Mexico, and for other purposes.","SEC. 3. OFFSHORE OIL AND GAS LEASING IN 181 AREA AND 181 SOUTH AREA OF GULF OF MEXICO.
(a) 181 Area Lease Sale.--Except as provided in section 4, the Secretary shall offer the 181 Area for oil and gas leasing pursuant to the Outer Continental Shelf Lands Act (43 U.S.C. 1331 et seq.) as soon as practicable, but not later than 1 year, after the date of enactment of this Act.
(b) 181 South Area Lease Sale.--The Secretary shall offer the 181 South Area for oil and gas leasing pursuant to the Outer Continental Shelf Lands Act (43 U.S.C. 1331 et seq.) as soon as practicable after the date of enactment of this Act.
(c) Leasing Program.--The 181 Area and 181 South Area shall be offered for lease under this section notwithstanding the omission of the 181 Area or the 181 South Area from any outer Continental Shelf leasing program under section 18 of the Outer Continental Shelf Lands Act (43 U.S.C. 1344).","These excerpts are chosen because they directly outline the provisions for oil and gas leasing in the 181 Area and 181 South Area of the Gulf of Mexico, which is the primary focus of the bill aimed at enhancing energy independence and security. The sections detail the responsibilities of the Secretary regarding leasing, which is central to the vote on the passage of the bill.",S3711,200
616,On Passage of the Bill,A bill to implement the United States-Oman Free Trade Agreement.,"SEC. 2. PURPOSES. The purposes of this Act are-- (1) to approve and implement the Free Trade Agreement between the United States and Oman entered into under the authority of section 2103(b) of the Bipartisan Trade Promotion Authority Act of 2002 (19 U.S.C. 3803(b)); (2) to strengthen and develop economic relations between the United States and Oman for their mutual benefit; (3) to establish free trade between the 2 nations through the reduction and elimination of barriers to trade in goods and services and to investment; and (4) to lay the foundation for further cooperation to expand and enhance the benefits of such Agreement. SEC. 101. APPROVAL AND ENTRY INTO FORCE OF THE AGREEMENT. (a) Approval of Agreement and Statement of Administrative Action.--Pursuant to section 2105 of the Bipartisan Trade Promotion Authority Act of 2002 (19 U.S.C. 3805) and section 151 of the Trade Act of 1974 (19 U.S.C. 2191), Congress approves-- (1) the United States-Oman Free Trade Agreement entered into on January 19, 2006, with Oman and submitted to Congress on June 26, 2006; and (2) the statement of administrative action proposed to implement the Agreement that was submitted to Congress on June 26, 2006. (b) Conditions for Entry Into Force of the Agreement.--At such time as the President determines that Oman has taken measures necessary to bring it into compliance with those provisions of the Agreement that are to take effect on the date on which the Agreement enters into force, the President is authorized to exchange notes with the Government of Oman providing for the entry into force, on or after January 1, 2007, of the Agreement with respect to the United States.","These excerpts were chosen as they encapsulate the primary purposes and the approval mechanism of the United States-Oman Free Trade Agreement. They clearly outline the intent behind the bill, which is to facilitate free trade and enhance economic relations between the two nations. This directly informs legislators about the key aspects of the bill they are voting on, highlighting the agreement's significance in terms of trade policy and international relations.",HR5684,200
618,On the Cloture Motion,A bill to establish operational control over the international land and maritime borders of the United States.,"SEC. 2. ACHIEVING OPERATIONAL CONTROL ON THE BORDER. (a) In General.--Not later than 18 months after the date of the enactment of this Act, the Secretary of Homeland Security shall take all actions the Secretary determines necessary and appropriate to achieve and maintain operational control over the entire international land and maritime borders of the United States, to include the following-- (1) systematic surveillance of the international land and maritime borders of the United States through more effective use of personnel and technology, such as unmanned aerial vehicles, ground-based sensors, satellites, radar coverage, and cameras; and (2) physical infrastructure enhancements to prevent unlawful entry by aliens into the United States and facilitate access to the international land and maritime borders by United States Customs and Border Protection, such as additional checkpoints, all weather access roads, and vehicle barriers. (b) Operational Control Defined.--In this section, the term 'operational control' means the prevention of all unlawful entries into the United States, including entries by terrorists, other unlawful aliens, instruments of terrorism, narcotics, and other contraband.","These excerpts detail the primary objective of the bill, which is to establish operational control over the U.S. borders. They specifically outline the responsibilities of the Secretary of Homeland Security to implement surveillance and physical infrastructure improvements, which are central to the legislative intent of the bill. This directly informs legislators about the core components they are voting on regarding border security measures.",HR6061,200
620,On the Amendment,In the nature of a substitute.,"SEC. 3. MILITARY COMMISSIONS. (a) Military Commissions.--(1) In general.--Subtitle A of title 10, United States Code, is amended by inserting after chapter 47 the following new chapter: ""CHAPTER 47A--MILITARY COMMISSIONS ..."" (b) Authority for Military Commissions Under This Chapter.--The President is authorized to establish military commissions under this chapter for offenses triable by military commission as provided in this chapter. (c) Construction of Provisions.--The procedures for military commissions set forth in this chapter are based upon the procedures for trial by general courts-martial under chapter 47 of this title (the Uniform Code of Military Justice). ... (g) Geneva Conventions Not Establishing Source of Rights.--No alien unlawful enemy combatant subject to trial by military commission under this chapter may invoke the Geneva Conventions as a source of rights.","These excerpts were selected because they directly outline the establishment, authority, and operational scope of military commissions as proposed in the bill. They emphasize the amendment to the existing legal framework and the President's powers to establish such commissions. This is crucial for understanding what the legislators are voting on regarding the amendment, as it focuses on the nature of military trials and the limitations placed on the rights of unlawful enemy combatants under the Geneva Conventions.",S3930,100
621,On the Amendment,To strike the provision regarding habeas review.,"SEC. 7. HABEAS CORPUS MATTERS.

(a) In General.--Section 2241 of title 28, United States Code, is amended by striking both the subsection (e) added by section 1005(e)(1) of Public Law 109-148 (119 Stat. 2742) and the subsection (e) added by added by section 1405(e)(1) of Public Law 109-163 (119 Stat. 3477) and inserting the following new subsection (e):

""(e)(1) No court, justice, or judge shall have jurisdiction to hear or consider an application for a writ of habeas corpus filed by or on behalf of an alien detained by the United States who has been determined by the United States to have been properly detained as an enemy combatant or is awaiting such determination.

(2) Except as provided in paragraphs (2) and (3) of section 1005(e) of the Detainee Treatment Act of 2005 (10 U.S.C. 801 note), no court, justice, or judge shall have jurisdiction to hear or consider any other action against the United States or its agents relating to any aspect of the detention, transfer, treatment, trial, or conditions of confinement of an alien who is or was detained by the United States and has been determined by the United States to have been properly detained as an enemy combatant or is awaiting such determination.""","These excerpts are directly relevant to the vote on the amendment to strike the provision regarding habeas review. The section explicitly states that no court shall have jurisdiction over habeas corpus applications for individuals detained as enemy combatants, which is the core issue at stake in the amendment. Striking this provision would allow courts to review such cases, thereby affecting the legal landscape for detainees and their rights.",S3930,100
